,compound_name,cas_number,species,strain,dosage,avg_lifespan_change,max_lifespan_change,gender,significance,pubmed_id
2993,p-fluorophenylalanine,51-65-0,Mus musculus,CBA,2 mM,-10.03,,MALE,NS,689376
2995,p-fluorophenylalanine,51-65-0,Mus musculus,CBA,0.08 mM,-5.52,,MALE,NS,689376
2994,p-fluorophenylalanine,51-65-0,Mus musculus,CBA,0.4 mM,-15.43,,MALE,S,689376
33,p-coumaric acid,501-98-4,Aedes albopictus,,200 ppm,23.26,,FEMALE,S,34188892
31,p-coumaric acid,501-98-4,Aedes albopictus,,50 ppm,12.97,,FEMALE,S,34188892
32,p-coumaric acid,501-98-4,Aedes albopictus,,100 ppm,20.38,,FEMALE,S,34188892
1679,ortho-topolin,,Caenorhabditis elegans,N2,100 µM,3.0,,,NS,29255944
1676,myo-inositol,643-12-9,Caenorhabditis elegans,N2,400 mM,25.0,31.0,,S,32901024
1675,myo-inositol,643-12-9,Caenorhabditis elegans,N2,100 mM,11.0,10.0,,S,32901024
1678,myo-inositol,643-12-9,Caenorhabditis elegans,N2,600 mM,26.0,20.0,,S,32901024
1677,myo-inositol,643-12-9,Caenorhabditis elegans,N2,500 mM,31.0,36.0,,S,32901024
1674,myo-inositol,643-12-9,Caenorhabditis elegans,N2,30 mM,4.0,,,NS,32901024
1673,myo-inositol,643-12-9,Caenorhabditis elegans,N2,1 mM,-4.0,-1.0,,NS,32901024
2705,magnesium L-thiazolidine-4-carboxylate,,Drosophila melanogaster,Oregon-R,0.20%,16.0,17.0,MALE,S,118043
2704,jujube fruit powder,,Drosophila melanogaster,w1118,150 mg/ml,11.1,,,S,28251407
1670,guarana ethanolic extract,,Caenorhabditis elegans,N2,100 µg/mL,18.18,21.4,,S,29972429
1671,guarana ethanolic extract,,Caenorhabditis elegans,N2,500 µg/mL,36.36,28.57,,S,29972429
1672,guarana ethanolic extract,,Caenorhabditis elegans,N2,1000 µg/mL,36.36,28.57,,S,29972429
1669,ethanol extract of Agrimonia procera herba,,Caenorhabditis elegans,N2,200 µg/mL,7.5,,,S,30558122
1668,ethanol extract of Agrimonia procera herba,,Caenorhabditis elegans,N2,100 µg/mL,12.7,,,S,30558122
1667,ethanol extract of Agrimonia procera herba,,Caenorhabditis elegans,N2,50 µg/mL,8.1,,,S,30558122
1666,dihydrozeatin,23599-75-9,Caenorhabditis elegans,N2,50 µM,0.0,,,NS,29255944
1665,dihydrozeatin,23599-75-9,Caenorhabditis elegans,N2,100 µM,-1.0,,,NS,29255944
1664,d-Allulose,551-68-8,Caenorhabditis elegans,N2,25 mM,7.0,,,S,28965946
1663,d-Allulose,551-68-8,Caenorhabditis elegans,N2,10 mM,12.0,,,S,28965946
1662,d-Allulose,551-68-8,Caenorhabditis elegans,N2,5 mM,4.0,,,S,28965946
1661,cis-zeatin,32771-64-5,Caenorhabditis elegans,N2,100 µM,-3.0,,,NS,29255944
1660,cis-zeatin,32771-64-5,Caenorhabditis elegans,N2,50 µM,-2.0,,,NS,29255944
1659,cis-zeatin,32771-64-5,Caenorhabditis elegans,N2,200 µM,-4.0,,,NS,29255944
1658,cis-vaccenic acid ,506-17-2,Caenorhabditis elegans,N2,800 µM,13.06,,,S,28379943
3010,beta-Carotene,7235-40-7,Musca domestica,,2%,-2.89,,MALE,NS,4068768
3011,beta-Carotene,7235-40-7,Musca domestica,,2%,-26.08,,MALE,S,4068768
3009,beta-Carotene,7235-40-7,Musca domestica,,0.50%,-8.79,,MALE,NS,4068768
2992,beta-Carotene,7235-40-7,Mus musculus,C57BL/6J,0.50%,-11.5,,MALE,NS,3770487
2991,beta-Carotene,7235-40-7,Mus musculus,C57BL/6J,0.50%,5.0,,MALE,NS,3770487
2990,beta-Aminopropionitrile fumarate,352-96-5,Mus musculus,LAF/J ,3 mg/mL,5.48,-0.25,MALE,S,689120
2989,beta-Aminopropionitrile fumarate,352-96-5,Mus musculus,LAF/J ,3 mg/mL,4.57,8.03,MALE,S,689120
2988,beta-Aminopropionitrile fumarate,352-96-5,Mus musculus,LAF/J ,3 mg/mL,0.0,-1.55,MALE,NS,689120
2987,beta-Aminopropionitrile fumarate,352-96-5,Mus musculus,LAF/J ,1 mg/mL,5.79,6.73,MALE,S,689120
2986,beta-Aminopropionitrile fumarate,352-96-5,Mus musculus,LAF/J ,1 mg/mL,5.79,-0.77,MALE,S,689120
2985,beta-Aminopropionitrile fumarate,352-96-5,Mus musculus,LAF/J ,1 mg/mL,4.57,-1.29,MALE,S,689120
1657,alpha-ketoglutaric acid,328-50-7,Caenorhabditis elegans,MY16,8 mM,56.25,,,S,31820364
2703,alpha-ketoglutaric acid,328-50-7,Drosophila melanogaster,Canton-S,20 μM,7.74,,Female,S,33008901
118,alpha-ketoglutaric acid,328-50-7,Caenorhabditis briggsae,HK104,8 mM,-7.89,,,NS,31820364
119,alpha-ketoglutaric acid,328-50-7,Caenorhabditis briggsae,JU1348,8 mM,-3.85,,,NS,31820364
117,alpha-ketoglutaric acid,328-50-7,Caenorhabditis briggsae,AF16,8 mM,7.69,,,NS,31820364
1656,"alpha,beta-Trehalose",585-91-1,Caenorhabditis elegans,N2,5 mM,0.0,,,NS,20477758
1655,Zomepirac sodium,,Caenorhabditis elegans,N2,10 µM,4.59,,,NS,33008901
1654,Ziprasidone hydrochloride monohydrate,138982-67-9,Caenorhabditis elegans,N2,100 µM,-7.97,,,S,33008901
1653,Ziprasidone hydrochloride monohydrate,138982-67-9,Caenorhabditis elegans,N2,10 µM,-20.7,,,S,33008901
2702,Ziprasidone HCl,122883-93-6,Drosophila melanogaster,Canton-S,200 μM,-3.65,,Male,S,33008901
2701,Ziprasidone HCl,122883-93-6,Drosophila melanogaster,Canton-S,20 μM,5.6,,Female,NS,33008901
2699,Zinc acetate,557-34-65970-45-6,Drosophila melanogaster,Oregon-R,1 mM,-4.0,,MALE,NS,6409707
2698,Zinc acetate,557-34-65970-45-6,Drosophila melanogaster,Oregon-R,10 mM,-12.0,,MALE,S,6409707
2700,Zinc acetate,557-34-65970-45-6,Drosophila melanogaster,Oregon-R,0.1 mM,-6.0,,MALE,S,6409707
1652,Zinc Sulfate,7733-02-0,Caenorhabditis elegans,N2,500 µM,-14.0,,,S,27078872
1650,Zearalenone,17924-92-4,Caenorhabditis elegans,N2,50 μM,-19.05,,,S,33940230
1651,Zearalenone,17924-92-4,Caenorhabditis elegans,N2,1.25 μM,-4.76,,,NS,33940230
2697,ZD7114,129689-30-1,Drosophila melanogaster,Canton-S,200 μM,7.51,,Male,NS,33008901
1649,ZD 7114 hydrochloride ,,Caenorhabditis elegans,N2,10 µM,0.57,,,NS,33008901
1648,Xylose,50855-32-8,Caenorhabditis elegans,N2,10 mM,6.0,,,S,25643626
2696,Xanthohumol,6754-58-1,Drosophila melanogaster,Oregan R-C,0.5 mg/mL,10.41,8.88,MALE,S,33549830
2695,Xanthohumol,6754-58-1,Drosophila melanogaster,Oregan R-C,0.1 mg/mL,4.16,4.44,MALE,NS,33549830
1647,Xanthine,,Caenorhabditis elegans,N2,50 µg/mL,0.82,,,NS,30061824
2694,Xanthine,,Drosophila melanogaster,Oregon-R,0.45 mM,1.8,,MALE,NS,1800135
2693,Wortmannin,19545-26-7,Drosophila melanogaster,Canton S,5 µM,5.0,,Male,S,24096697
1646,Wortmannin,19545-26-7,Caenorhabditis elegans,N2,1 µM,-4.1,,,S,23543623
1644,Wortmanin,19545-26-7,Caenorhabditis elegans,N2,10 µM,-3.6,,,NS,33008901
1645,Wortmanin,19545-26-7,Caenorhabditis elegans,N2,100 µM,12.78,,,S,33008901
2692,Wormanin,,Drosophila melanogaster,Canton-S,200 μM,-5.41,,Male,NS,33008901
1642,Withanolide A,32911-62-9,Caenorhabditis elegans,N2,25 µM,15.79,24.58,,S,26956478
1640,Withanolide A,32911-62-9,Caenorhabditis elegans,N2,2 µM,4.32,7.59,,S,26956478
1641,Withanolide A,32911-62-9,Caenorhabditis elegans,N2,5 µM,29.65,45.33,,S,26956478
1643,Withanolide A,32911-62-9,Caenorhabditis elegans,N2,50 µM,10.81,15.12,,S,26956478
2690,Withaferin A,5119-48-2,Drosophila melanogaster,Canton-S,10 µM,7.7,11.1,male,S,33498013
2691,Withaferin A,5119-48-2,Drosophila melanogaster,Canton-S,100 µM,9.6,11.1,male,S,33498013
1639,Whole apple extract,,Caenorhabditis elegans,N2,10 mg/ml,39.0,25.0,,S,23878618
1637,Vortioxetine,508233-74-7,Caenorhabditis elegans,N2,100 µM,-2.26,,,NS,33008901
1638,Vortioxetine,508233-74-7,Caenorhabditis elegans,N2,10 µM,-8.5,,,NS,33008901
2689,Vortioxetine,508233-74-7,Drosophila melanogaster,Canton-S,20 μM,-0.77,,Female,NS,33008901
1636,Vitexin,3681-93-4,Caenorhabditis elegans,N2,100 µM,17.2,10.5,,S,26535084
1635,Vitexin,3681-93-4,Caenorhabditis elegans,N2,50 µM,8.0,5.3,,S,26535084
1629,Vitamin E,59-02-9,Caenorhabditis elegans,N2,200 µg/ml,17.0,,,S,3374177
1634,Vitamin E,59-02-9,Caenorhabditis elegans,N2,20 µg/mL,16.6,0.0,,S,17169403
1633,Vitamin E,59-02-9,Caenorhabditis elegans,N2,200 µg/mL,20.6,0.0,,S,17169403
1631,Vitamin E,59-02-9,Caenorhabditis elegans,N2,80 ug/ml,2.9,,,S,10843344
1630,Vitamin E,59-02-9,Caenorhabditis elegans,N2,200 µg/ml,23.0,,,S,3374177
1628,Vitamin E,59-02-9,Caenorhabditis elegans,N2,200 µg/ml,22.0,,,S,3374177
1632,Vitamin E,59-02-9,Caenorhabditis elegans,N2,400 µg/ml,11.0,,,S,14706236
1626,Vitamin E,59-02-9,Caenorhabditis elegans,N2,400 µg/ml,4.0,,,NS,3374177
3255,Vitamin E,59-02-9,Zaprionus paravittiger,,1 μg/mL,2.22,8.77,MALE,S,8930618
3263,Vitamin E,59-02-9,Zaprionus paravittiger,,25 μg/mL,-42.97,-20.73,FEMALE,S,8930618
3262,Vitamin E,59-02-9,Zaprionus paravittiger,,10 μg/mL,11.26,15.04,FEMALE,S,8930618
3261,Vitamin E,59-02-9,Zaprionus paravittiger,,5 μg/mL,17.19,21.13,FEMALE,S,8930618
3260,Vitamin E,59-02-9,Zaprionus paravittiger,,1 μg/mL,4.03,3.66,FEMALE,S,8930618
3259,Vitamin E,59-02-9,Zaprionus paravittiger,,50 μg/mL,-52.15,-26.33,MALE,S,8930618
3258,Vitamin E,59-02-9,Zaprionus paravittiger,,25 μg/mL,-33.7,-16.08,MALE,S,8930618
3257,Vitamin E,59-02-9,Zaprionus paravittiger,,10 μg/mL,23.2,11.75,MALE,S,8930618
3256,Vitamin E,59-02-9,Zaprionus paravittiger,,5 μg/mL,11.8,15.67,MALE,S,8930618
3036,Vitamin E,59-02-9,Philodina,,concentration of 10^ -4,9.2,0.0,,NS,7428854
2687,Vitamin E,59-02-9,Drosophila melanogaster,Oregon R,0.4% wt/vol,14.0,,,S,6821144
3035,Vitamin E,59-02-9,Paramecium tetraurelia,,10000 mg/L,,,,S,14706234
3034,Vitamin E,59-02-9,Paramecium tetraurelia,,1000 mg/L,49.51,,,S,14706234
3033,Vitamin E,59-02-9,Paramecium tetraurelia,,100 mg/L,28.18,,,NS,14706234
3032,Vitamin E,59-02-9,Paramecium tetraurelia,,10 mg/L,-6.85,,,NS,14706234
3031,Vitamin E,59-02-9,Paramecium tetraurelia,,25 mg/L,11.7,17.1,,O,9406982
3008,Vitamin E,59-02-9,Musca domestica,,0.50%,-9.25,,MALE,NS,4068768
2984,Vitamin E,59-02-9,Mus musculus,C57BL/6J,550 mg/kg,15.0,,,S,18257658
2688,Vitamin E,59-02-9,Drosophila melanogaster,Canton S,100 µg/ml,2.0,,Female,S,17169403
1627,Vitamin E,59-02-9,Caenorhabditis elegans,N2,100 µg/ml,9.0,,,NS,3374177
3264,Vitamin E,59-02-9,Zaprionus paravittiger,,50 μg/mL,-53.96,-34.55,FEMALE,S,8930618
88,Vitamin E,59-02-9,Asplanchna brightwelli,,25 µg/mL,21.0,,,S,6479253
89,Vitamin E,59-02-9,Asplanchna brightwelli,clone 4B61,3 mM,16.4,6.7,,S,15374519
90,Vitamin E,59-02-9,Asplanchna brightwelli,clone 4B61,3 mM,24.5,,,S,15374519
1625,Vitamin D3,1406-16-2,Caenorhabditis elegans,N2,250 µM,47.95,,,S,27783938
1624,Vitamin D3,1406-16-2,Caenorhabditis elegans,N2,100 µM,23.29,,,S,27783938
1622,Vitamin D3,1406-16-2,Caenorhabditis elegans,N2,25 µM,10.98,,,S,27783938
1621,Vitamin D3,1406-16-2,Caenorhabditis elegans,N2,1000 µg/ml,23.0,,,S,24304198
1623,Vitamin D3,1406-16-2,Caenorhabditis elegans,N2,50 µM,28.77,,,S,27783938
2683,Vitamin A palmitate,79-81-2,Drosophila melanogaster,Oregon-R,25 IU,14.0,,MALE,S,8137896
2686,Vitamin A palmitate,79-81-2,Drosophila melanogaster,Oregon-R,25000 IU,-60.0,,MALE,S,8137896
2684,Vitamin A palmitate,79-81-2,Drosophila melanogaster,Oregon-R,62.5 IU,7.4,,MALE,S,8137896
2681,Vitamin A palmitate,79-81-2,Drosophila melanogaster,Oregon-R,0.25 IU,3.7,,MALE,NS,8137896
2682,Vitamin A palmitate,79-81-2,Drosophila melanogaster,Oregon-R,2.5 IU,17.0,,MALE,S,8137896
2685,Vitamin A palmitate,79-81-2,Drosophila melanogaster,Oregon-R,250 IU,-2.0,,MALE,NS,8137896
1620,Viramune (Nevirapine by SMILES),129618-40-2,Caenorhabditis elegans,N2,100 µM,-5.46,,,S,33008901
1619,Viramune (Nevirapine by SMILES),129618-40-2,Caenorhabditis elegans,N2,10 µM,0.62,,,NS,33008901
1618,Vinpocetine,42971-09-5,Caenorhabditis elegans,,33 µM,15.0,,,S,24134630
2679,Vincristine sulfate,2068-78-2,Drosophila melanogaster,Canton-S,20 μM,-3.48,,Female,NS,33008901
2680,Vincristine sulfate,2068-78-2,Drosophila melanogaster,Canton-S,200 μM,12.76,,Male,NS,33008901
1617,Vincristine sulfate,2068-78-2,Caenorhabditis elegans,N2,100 µM,-3.18,,,NS,33008901
1616,Vincristine sulfate,2068-78-2,Caenorhabditis elegans,N2,10 µM,-4.32,,,S,33008901
1615,Vincristine sulfate,2068-78-2,Caenorhabditis elegans,,88 µM,12.0,,,S,24134630
2678,Vincistine Sulfate,,Drosophila melanogaster,Canton-S,20 μM,-8.36,,Female,S,33008901
2677,Vinblastine Sulfate,,Drosophila melanogaster,Canton-S,20 μM,-5.08,,Female,NS,33008901
1614,Verminoside,,Caenorhabditis elegans,N2,5 µM,9.8,,,S,26189547
1613,Verminoside,,Caenorhabditis elegans,N2,50 µM,8.5,,,S,26189547
1612,Verminoside,,Caenorhabditis elegans,N2,25 µM,20.8,,,S,26189547
1611,Verapamil,52-53-9,Caenorhabditis elegans,N2,100 μM,18.65,,,S,32208362
2982,Vanadyl sulfate,27774-13-6,Mus musculus,Swiss,5 ppm,0.17,18.23,MALE,S,1113210
2983,Vanadyl sulfate,27774-13-6,Mus musculus,Swiss,5 ppm,12.43,16.14,FEMALE,S,1113210
1610,Valproic acid,99-66-1,Caenorhabditis elegans,N2,50 µM,13.24,,,S,30970250
1609,Valproic acid,99-66-1,Caenorhabditis elegans,N2,6 mM,35.0,42.0,,S,18248662
1608,Valine,72-18-4,Caenorhabditis elegans,N2,10 mM,-1.0,,,S,25643626
1607,Valine,72-18-4,Caenorhabditis elegans,N2,5 mM,8.0,,,S,25643626
1606,Valine,72-18-4,Caenorhabditis elegans,N2,1 mM,13.0,,,NS,25643626
2978,VI-28,,Mus musculus,C57BL/6J,0.005,7.2,,Female,NS,20370440
2981,VI-28,,Mus musculus,C57BL/6J,0.0005,14.4,,Male,S,20370440
2980,VI-28,,Mus musculus,C57BL/6J,0.005,13.5,,Male,S,20370440
2979,VI-28,,Mus musculus,C57BL/6J,0.0005,8.8,,Female,S,20370440
2977,Ursolic  acid,77-52-1,Mus musculus,HET3,2000 ppm,6.0,,,NS,30688027
2976,Ursolic  acid,77-52-1,Mus musculus,HET3,2000 ppm,0.0,,,NS,30688027
1604,Urolithin D,131086-98-1,Caenorhabditis elegans,N2,50 µM,19.0,,,S,27400265
1605,Urolithin D,131086-98-1,Caenorhabditis elegans,N2,50 µM,19.0,,,S,27400265
1603,Urolithin C,165393-06-6,Caenorhabditis elegans,N2,50 µM,36.0,,,S,27400265
1602,Urolithin C,165393-06-6,Caenorhabditis elegans,N2,50 µM,36.0,,,S,27400265
1601,Urolithin B,1139-83-9,Caenorhabditis elegans,N2,50 µM,36.6,,,S,27400265
1600,Urolithin B,1139-83-9,Caenorhabditis elegans,N2,50 µM,36.6,,,S,27400265
1597,Urolithin A,1143-70-0,Caenorhabditis elegans,N2,50 µM,45.4,,,S,27400265
1599,Urolithin A,1143-70-0,Caenorhabditis elegans,N2,30 µM,40.7,,,S,30624146
1598,Urolithin A,1143-70-0,Caenorhabditis elegans,N2,10 µM,24.0,,,S,27400265
1595,Urolithin A,1143-70-0,Caenorhabditis elegans,N2,30 µM,40.7,,,S,27400265
1594,Urolithin A,1143-70-0,Caenorhabditis elegans,N2,10 µM,24.0,,,S,27400265
1596,Urolithin A,1143-70-0,Caenorhabditis elegans,N2,50 µM,37.5,,,S,27400265
1592,Uric acid,69-93-2,Caenorhabditis elegans,N2,2mM,13.9,,,S,32074508
1593,Uric acid,69-93-2,Caenorhabditis elegans,N2,100mM,-9.94,,,S,32074508
1591,Uracil,66-22-8,Caenorhabditis elegans,N2,0.5 mM,0.0,,,NS,31232697
1590,URB597,546141-08-6,Caenorhabditis elegans,N2,50 µM,2.0,,,NS,30911178
1589,Tyrphostin AG 1478,175178-82-2,Caenorhabditis elegans,,33 µM,11.0,,,S,24134630
2676,Tyrphostin AG 1478,175178-82-2,Drosophila melanogaster,Oregon R,100 µM,19.5,,,S,22363408
2675,Tyrphostin AG 1295,71897-07-9,Drosophila melanogaster,Oregon R,300-500 µM,22.5,,,S,22363408
2674,Tyrphostin 9,10537-47-0,Drosophila melanogaster,Oregon R,300-500 µM,17.3,,,S,22363408
2673,Tyrphostin 1,2826-26-8,Drosophila melanogaster,Oregon R,100-300 µM,19.0,,,S,22363408
1588,Tyrosol,501-94-0,Caenorhabditis elegans,fer-15(b26),250 µM,19.1,10.8,,S,22824366
1587,Tyrosine-Alanine Dipeptide,,Caenorhabditis elegans,N2,10 mM,12.43,13.04,,S,26987062
1586,Tyrosine-Alanine Dipeptide,,Caenorhabditis elegans,N2,1 mM,10.37,13.04,,S,26987062
1583,Tyrosine,60-18-4,Caenorhabditis elegans,N2,10 mM,2.0,,,NS,25643626
1584,Tyrosine,60-18-4,Caenorhabditis elegans,N2,1 mM,10.0,,,S,25643626
1585,Tyrosine,60-18-4,Caenorhabditis elegans,N2,5 mM,5.0,,,S,25643626
2670,Turmeric powder,,Drosophila melanogaster,,5 g/L,17.6,,,S,24967413
2671,Turmeric powder,,Drosophila melanogaster,,7 g/L,17.6,,,S,24967413
2672,Turmeric powder,,Drosophila melanogaster,,2.5 g/L,2.9,,,S,24967413
1582,Tryptophen,,Caenorhabditis elegans,N2,10 µM,0.83,,,NS,33008901
1580,Tryptophan,73-22-3,Caenorhabditis elegans,N2,1 mM,9.0,,,S,25643626
1579,Tryptophan,73-22-3,Caenorhabditis elegans,N2,5 mM,6.0,,,S,25643626
1578,Tryptophan,73-22-3,Caenorhabditis elegans,N2,1 mM,14.0,,,S,25643626
1581,Tryptophan,73-22-3,Caenorhabditis elegans,N2,10 mM,1.0,,,NS,25643626
2667,Tryptophan,73-22-3,Drosophila melanogaster,Canton-S,20 μM,-3.93,,Female,S,33008901
2668,Tryptophan,73-22-3,Drosophila melanogaster,Canton-S,200 μM,0.33,,Male,NS,33008901
2669,Tryptophan,73-22-3,Drosophila melanogaster,Canton-S,200 μM,4.68,,Male,NS,33008901
1577,Trolox,53188-07-1,Caenorhabditis elegans,N2,3 mM,31.0,,,S,18755260
1576,Triptolide,38748-32-2,Caenorhabditis elegans,N2,50 mg/L,20.1,16.0,,S,28471052
2665,Tripelennamine HCl,154-69-8,Drosophila melanogaster,Canton S,25 mg/100 mL of medium,18.0,13.0,Male,NS,4397875
2666,Tripelennamine HCl,154-69-8,Drosophila melanogaster,Canton S,25 mg/100 mL of medium,19.0,27.0,Female,NS,4397875
1575,Triolein,122-32-7,Caenorhabditis elegans,N2,25 µM,0.0,,,NS,21308896
2663,Trimethobenzamine-HCL,,Drosophila melanogaster,Canton-S,20 μM,-2.14,,Female,NS,33008901
2664,Trimethobenzamine-HCL,,Drosophila melanogaster,Canton-S,200 μM,0.92,,Male,NS,33008901
1574,Trimethadione,127-48-0,Caenorhabditis elegans,N2,25 µL Liposomes + 0.6mg trimethadione,,50.0,,S,19580823
1571,Trimethadione,127-48-0,Caenorhabditis elegans,N2,4 mg/ml,39.0,33.0,,S,15653505
1572,Trimethadione,127-48-0,Caenorhabditis elegans,N2,4 mg/ml,41.0,23.0,,S,15653505
1569,Trimethadione,127-48-0,Caenorhabditis elegans,N2,4 mg/ml,24.0,29.0,,S,15653505
1570,Trimethadione,127-48-0,Caenorhabditis elegans,N2,4 mg/ml,-7.0,-10.0,,NS,15653505
1573,Trimethadione,127-48-0,Caenorhabditis elegans,N2,4 mg/ml,47.0,57.0,,S,15653505
1567,Trilobatin,4192-90-9,Caenorhabditis elegans,N2,62.5 μM,11.7,,,S,33935768
1566,Trilobatin,4192-90-9,Caenorhabditis elegans,N2,250 μM,7.7,,,S,33935768
1568,Trilobatin,4192-90-9,Caenorhabditis elegans,N2,125 μM,22.1,,,S,33935768
1565,Triiodothyronine,03/02/6893,Caenorhabditis elegans,N2,50 µM,14.29,,,S,33851304
1564,Triflupromazine hydrochloride,1098-60-8,Caenorhabditis elegans,N2,100 µM,-38.53,,,S,33008901
1563,Triflupromazine hydrochloride,1098-60-8,Caenorhabditis elegans,N2,10 µM,-22.64,,,S,33008901
2662,Triflupromazine HCl,1098-60-8,Drosophila melanogaster,Canton-S,200 μM,1.38,,Male,NS,33008901
2661,Trifluoperazine-HCl,,Drosophila melanogaster,Canton-S,200 μM,1.63,,Male,NS,33008901
1562,Trielaidin,537-39-3,Caenorhabditis elegans,N2,25 μM,-8.08,,,NS,21308896
2658,Trichostatin A,58880-19-6,Drosophila melanogaster,Canton S, 10 µM,23.3,37.0,Male,S,15346199
2659,Trichostatin A,58880-19-6,Drosophila melanogaster,Canton S, 10 µM,27.3,37.9,Female,S,15346199
2660,Trichostatin A,58880-19-6,Drosophila melanogaster,Canton S,10 µmol/L,15.6,,Female,O,15695762
1561,Trichostatin A,58880-19-6,Caenorhabditis elegans,N2,100 µM,22.1,,,S,26676933
1560,Trequinsin hydrochloride,78416-81-6,Caenorhabditis elegans,,88 µM,27.0,,,S,24134630
1559,Trehalose,99-20-7,Caenorhabditis elegans,N2,5 mM,32.0,,,S,20477758
2657,Trametinib,871700-17-3,Drosophila melanogaster,white Dahomey,15.6 µM,12.0,,,S,26119340
2652,Torin 1,1222998-36-8,Drosophila melanogaster,Dahomey,1 µM,36.36,16.6,,S,29329306
2653,Torin 1,1222998-36-8,Drosophila melanogaster,Dahomey,1 µM,4.55,3.8,,S,29329306
2654,Torin 1,1222998-36-8,Drosophila melanogaster,Dahomey,10 µM,59.09,0.0,,S,29329306
2655,Torin 1,1222998-36-8,Drosophila melanogaster,Dahomey,5 µM,50.0,13.89,,S,29329306
2656,Torin 1,1222998-36-8,Drosophila melanogaster,Dahomey,0.5 µM,27.27,8.33,,S,29329306
1558,Tomatidine,77-59-8,Caenorhabditis elegans,N2,25 µM,7.0,,,S,28397803
1557,Tocotrienol,6829-55-6,Caenorhabditis elegans,N2,86 µg,21.0,18.0,,S,22484623
1556,Tocotrienol,6829-55-6,Caenorhabditis elegans,N2,259 µg,12.0,11.0,,S,22484623
1555,Tocotrienol,6829-55-6,Caenorhabditis elegans,N2,26 µg,8.6,3.5,,S,22484623
1554,Tocotrienol,6829-55-6,Caenorhabditis elegans,N2,,20.0,,,O,16872777
1553,Tocotrienol,6829-55-6,Caenorhabditis elegans,N2,80 µg/ml,19.8,,,S,10843344
1552,Tocotrienol,6829-55-6,Caenorhabditis elegans,N2,8 µg/ml,8.7,,,S,10843344
2651,Tiliroside,5320686,Drosophila melanogaster,Oregon R,100 µM,15.56,5.88,,S,28887920
2650,Tiapride-HCL,51012-33-0,Drosophila melanogaster,Canton-S,200 μM,0.26,,Male,NS,33008901
1551,Tiapride Hydrochloride,51012-33-0,Caenorhabditis elegans,N2,100 µM,-6.63,,,S,33008901
